observation_date,FYGDP
1960-06-30,534.325
1961-06-30,546.575
1962-06-30,585.675
1963-06-30,618.200
1964-06-30,661.700
1965-06-30,709.325
1966-06-30,780.475
1967-06-30,836.525
1968-06-30,897.575
1969-06-30,980.275
1970-06-30,1046.675
1971-06-30,1116.550
1972-06-30,1216.250
1973-06-30,1352.725
1974-06-30,1482.850
1975-06-30,1606.925
1976-06-30,1786.100
1977-09-30,2024.325
1978-09-30,2273.450
1979-09-30,2565.575
1980-09-30,2791.900
1981-09-30,3133.225
1982-09-30,3313.350
1983-09-30,3536.000
1984-09-30,3949.175
1985-09-30,4265.125
1986-09-30,4526.250
1987-09-30,4767.650
1988-09-30,5138.550
1989-09-30,5554.675
1990-09-30,5898.750
1991-09-30,6093.175
1992-09-30,6416.250
1993-09-30,6775.325
1994-09-30,7176.850
1995-09-30,7560.425
1996-09-30,7951.325
1997-09-30,8451.025
1998-09-30,8930.800
1999-09-30,9479.625
2000-09-30,10117.075
2001-09-30,10525.725
2002-09-30,10828.875
2003-09-30,11278.750
2004-09-30,12028.425
2005-09-30,12839.950
2006-09-30,13636.750
2007-09-30,14305.375
2008-09-30,14796.575
2009-09-30,14467.300
2010-09-30,14884.400
2011-09-30,15466.525
2012-09-30,16109.425
2013-09-30,16687.775
2014-09-30,17428.100
2015-09-30,18164.250
2016-09-30,18641.325
2017-09-30,19375.175
2018-09-30,20436.325
2019-09-30,21275.275
2020-09-30,21292.400
2021-09-30,22936.525
2022-09-30,25305.650
2023-09-30,26982.375
